,map equation centrality rank,map equation centrality rank pr,modularity vitality rank,community hub-bridge rank,community-based centrality rank,degree centrality rank,betweenness centrality rank
0,229,798,601,462,394,215,270
487,33,779,47,30,24,33,38
249,6,764,1,129,13,7,7
500,104,783,35,487,130,104,71
269,364,782,636,610,548,348,529
518,54,781,77,284,52,52,40
761,255,762,228,585,377,243,282
772,24,755,342,149,30,23,14
777,37,725,17,323,48,37,77
322,452,719,310,588,373,412,348
574,277,713,321,498,429,269,424
95,46,690,114,171,120,43,110
98,111,633,362,387,174,108,126
99,42,784,112,393,62,38,24
351,32,705,9,381,33,28,12
605,228,595,241,427,449,216,421
654,386,776,366,219,255,375,255
194,68,559,76,370,149,63,106
703,182,731,169,69,128,181,307
467,455,646,329,688,541,443,538
1,636,795,710,524,565,633,207
512,245,718,219,94,172,244,175
38,356,685,183,423,308,349,249
326,352,615,637,276,297,350,219
369,269,661,203,162,164,270,194
391,465,708,470,525,570,444,340
398,788,717,680,756,778,782,763
2,607,790,577,302,456,596,682
335,300,695,138,33,99,284,312
130,296,670,443,65,134,285,166
634,331,640,227,58,121,286,260
653,613,639,243,183,359,597,524
683,102,585,196,399,77,99,54
478,218,470,630,50,95,217,135
3,263,772,417,512,465,245,552
496,12,743,8,115,23,12,16
20,582,765,550,648,672,551,635
44,49,697,437,218,154,49,183
83,137,666,98,448,232,126,274
338,236,750,70,617,371,218,230
339,30,665,24,157,49,31,39
394,86,749,179,206,145,81,209
645,48,698,26,456,82,44,78
158,78,656,272,278,190,72,245
169,262,711,226,543,338,246,527
203,34,544,725,170,105,34,108
692,4,530,3,67,7,3,5
212,105,724,51,371,135,105,79
461,0,462,5,25,1,0,1
708,333,706,184,510,400,317,491
225,272,657,101,653,432,271,584
4,88,766,117,23,55,88,200
252,154,788,585,85,146,153,179
499,25,738,319,8,19,25,26
14,13,721,509,2,9,14,17
743,348,748,274,165,303,351,586
47,11,534,11,16,6,9,8
539,284,744,685,195,271,287,447
53,172,714,178,174,138,168,138
784,99,763,134,27,64,100,217
790,3,712,697,0,2,4,13
325,143,629,86,37,109,141,341
92,40,603,447,22,40,41,83
588,313,773,384,544,399,288,435
353,18,645,628,3,12,18,36
360,107,576,91,28,70,109,201
367,202,752,146,250,173,200,204
129,81,631,142,76,88,82,169
134,285,671,604,220,231,289,350
631,332,716,358,64,142,318,467
638,50,452,197,18,44,50,137
401,89,533,795,47,59,89,174
164,203,578,421,98,153,201,360
173,14,581,143,5,5,15,28
671,1,536,0,4,0,1,2
443,61,673,79,95,98,56,72
207,8,350,498,1,3,8,21
702,169,557,640,111,165,169,216
468,125,771,41,347,368,115,37
479,28,523,192,13,25,29,47
485,287,566,607,221,258,290,412
5,123,676,289,211,215,116,88
242,378,729,718,271,342,376,192
243,148,768,139,158,180,142,97
255,233,677,80,249,331,202,560
18,504,774,218,750,559,478,406
758,659,754,701,729,732,634,198
528,575,767,713,632,571,552,542
37,398,735,103,345,505,377,661
49,162,596,85,191,245,154,478
552,631,770,364,672,678,598,516
67,410,635,474,703,487,378,275
372,122,621,709,258,205,117,182
381,176,575,97,208,235,170,334
382,150,424,772,287,220,143,336
383,485,627,222,564,520,479,437
409,261,504,96,263,304,247,193
656,177,431,64,193,288,171,428
421,29,349,52,113,38,30,45
690,55,426,42,269,65,53,64
208,539,588,728,611,623,512,659
458,232,317,109,261,372,219,220
462,21,263,20,90,31,21,20
6,253,692,793,315,295,248,368
23,189,747,663,252,252,182,184
544,251,732,210,225,266,249,310
305,7,451,2,209,11,5,3
323,26,541,25,196,50,26,30
573,92,624,559,143,91,90,100
589,421,683,286,364,466,413,665
103,568,694,653,612,600,553,613
615,110,638,135,253,106,110,119
127,108,608,468,146,157,111,125
385,114,612,705,73,112,118,442
400,156,626,102,207,123,155,163
163,15,463,4,103,17,13,11
439,227,574,121,440,233,220,188
454,469,669,156,636,658,445,587
463,82,611,78,70,107,83,85
7,634,791,522,486,621,635,572
510,514,674,789,414,517,513,392
747,629,696,236,684,718,599,666
587,200,489,278,88,168,203,309
191,318,501,167,117,229,319,401
215,377,454,314,200,333,379,531
8,660,797,180,644,729,636,553
288,315,681,257,503,426,291,151
566,745,720,588,769,773,724,727
575,475,679,744,655,444,446,102
151,438,668,120,517,572,414,234
397,546,402,205,614,670,514,338
171,663,461,290,676,683,637,610
9,767,796,784,773,782,752,749
616,67,484,291,125,79,64,67
622,31,410,14,334,41,32,25
10,573,737,423,682,597,554,657
301,322,637,449,267,246,320,367
555,273,610,602,377,305,272,239
788,119,599,107,361,150,119,145
154,124,547,508,338,194,120,89
11,540,751,480,562,558,515,405
13,2,227,12,35,8,2,0
782,570,684,425,724,586,555,540
798,714,686,737,746,699,697,718
368,741,733,689,747,744,725,741
170,178,558,221,402,192,172,146
686,397,644,328,433,424,380,121
222,56,492,32,51,37,57,22
472,399,441,144,372,480,381,440
12,187,602,249,332,248,183,152
254,35,411,19,46,34,35,29
21,420,680,435,406,439,415,485
297,519,722,622,439,435,516,452
299,85,613,90,189,177,84,133
356,226,654,95,154,262,221,170
611,39,413,100,140,53,39,57
133,513,625,516,471,495,517,580
380,22,315,125,122,39,22,43
431,188,607,174,172,222,184,295
711,118,522,715,190,176,121,203
714,361,579,766,404,310,352,342
230,334,482,427,429,360,321,399
725,650,546,592,622,663,638,647
244,486,745,749,375,450,480,365
248,57,630,277,15,26,58,19
253,113,297,281,201,113,112,86
502,578,499,376,565,635,518,279
257,71,606,597,251,119,65,69
507,44,465,45,54,43,45,46
748,416,642,472,368,422,416,480
25,95,529,37,348,124,91,149
757,344,337,73,286,460,322,627
284,10,253,10,17,18,10,15
43,311,580,396,545,405,292,434
536,553,664,344,575,471,556,486
292,208,598,327,336,200,204,59
775,41,409,23,71,42,42,68
298,623,467,185,533,664,600,347
781,370,707,386,546,344,353,189
553,20,510,13,92,21,20,4
558,106,507,214,488,187,106,224
69,9,335,21,10,10,11,23
563,238,464,389,555,412,222,449
796,116,604,128,275,148,122,75
75,16,284,15,78,20,16,9
567,464,709,528,580,497,447,536
88,17,238,16,144,29,17,27
585,53,336,54,248,81,54,84
100,254,480,758,316,284,250,464
106,97,197,500,231,127,92,96
377,120,688,153,148,152,123,82
136,133,393,164,340,169,127,92
628,466,498,495,519,499,448,411
633,197,438,687,350,263,185,81
665,689,445,284,626,719,665,755
179,201,396,211,204,218,205,326
435,500,540,166,447,583,481,594
449,5,276,6,12,4,6,10
205,19,203,7,29,14,19,18
452,431,171,259,437,509,417,551
466,256,691,248,478,376,251,351
475,134,371,679,259,186,128,197
240,196,571,580,272,265,186,277
739,413,569,513,358,378,418,454
256,516,568,540,465,498,519,453
745,434,567,305,642,577,419,497
26,141,519,87,38,100,144,113
521,237,359,665,584,384,223,301
527,316,437,361,163,285,323,545
51,550,651,479,539,590,557,674
543,415,391,798,312,411,420,565
564,163,162,736,528,322,156,261
329,243,552,233,260,217,252,441
348,295,739,202,42,103,293,130
361,666,699,453,687,605,666,655
387,569,746,626,620,457,558,396
