,map equation centrality rank,map equation centrality rank pr,modularity vitality rank,community hub-bridge rank,community-based centrality rank,degree centrality rank,betweenness centrality rank
0,48,60,553,186,115,46,76
1,111,78,508,256,191,103,92
2,19,32,98,142,59,18,60
3,120,133,332,183,217,115,154
4,408,455,163,717,392,389,420
5,136,157,187,355,156,129,235
6,77,69,36,357,136,74,42
7,499,539,477,572,626,477,554
8,190,227,380,410,177,185,217
9,38,35,221,121,55,37,53
10,154,166,110,409,220,145,181
11,178,194,135,269,313,169,269
12,89,84,158,276,135,85,34
13,26,14,51,55,51,24,41
14,165,175,202,411,268,157,162
15,1,4,34,2,2,2,21
16,548,531,535,672,604,525,514
17,176,191,276,312,287,170,280
18,66,63,166,111,97,62,104
19,191,217,155,465,243,186,275
20,8,8,24,139,30,8,15
21,232,262,176,341,380,221,516
22,2,1,2,120,20,3,2
23,10,10,209,77,21,10,24
24,153,142,194,364,258,146,94
25,817,873,495,804,929,773,935
26,133,123,72,241,170,130,177
27,331,356,492,553,396,302,399
28,468,461,543,604,563,429,358
29,74,70,385,23,22,75,71
30,122,149,116,373,171,116,190
31,816,868,1005,903,937,774,670
32,502,549,1059,505,475,478,675
33,162,168,212,313,151,158,187
34,1038,1083,885,1067,1096,983,936
35,1037,1082,886,1068,1097,984,937
36,1039,1084,887,1069,1098,985,938
37,87,72,151,148,122,86,64
38,67,77,109,247,121,63,98
39,70,81,22,48,44,69,83
40,5,2,6,133,34,5,7
41,4,5,0,161,28,4,9
42,407,473,305,501,449,390,603
43,172,213,162,330,301,171,186
44,44,50,16,311,113,42,45
45,25,34,47,126,65,25,33
46,542,615,451,795,495,526,594
47,533,619,262,785,599,527,528
48,11,22,342,4,4,11,35
49,78,106,33,331,146,76,194
50,130,122,31,592,124,117,69
51,18,20,8,78,45,19,12
52,918,994,1020,974,960,866,888
53,40,43,23,274,87,38,37
54,223,272,363,68,109,222,330
55,27,44,207,9,8,28,82
56,68,58,373,176,89,64,72
57,35,24,288,123,58,33,17
58,159,151,193,189,288,159,117
59,820,859,1006,832,874,775,819
60,423,362,746,630,499,391,289
61,79,95,228,203,142,77,89
62,410,417,173,358,470,392,541
63,194,209,71,185,272,187,312
64,177,154,480,259,230,172,118
65,256,288,225,288,294,241,444
66,255,196,255,285,260,242,146
67,213,224,134,231,303,200,426
68,49,38,725,138,127,47,28
69,112,91,409,210,155,104,73
70,285,302,484,354,346,266,253
71,21,13,564,80,64,21,20
72,131,115,21,363,187,131,99
73,143,132,39,414,134,132,66
74,336,276,527,436,474,303,201
75,9,11,4,232,35,9,4
76,482,556,302,297,359,479,523
77,335,312,971,387,318,304,243
78,313,323,436,102,157,305,355
79,76,68,28,49,47,78,47
80,94,99,18,234,106,91,63
81,110,100,59,190,128,105,67
82,585,690,675,655,650,569,705
83,235,298,649,417,367,223,451
84,115,150,343,20,26,118,265
85,364,366,689,375,381,347,396
86,613,682,849,789,663,570,615
87,307,359,736,84,150,306,408
88,509,504,435,563,576,480,568
89,121,105,537,188,213,119,68
90,330,243,723,290,325,307,159
91,293,179,468,432,316,267,114
92,166,102,60,227,241,160,124
93,99,80,83,187,126,92,106
94,660,710,1118,623,659,637,710
95,566,507,496,601,645,528,500
96,915,985,641,906,995,867,871
97,678,517,498,698,772,638,300
98,680,719,624,856,769,639,649
99,843,817,709,998,919,776,805
100,298,257,256,568,338,268,180
101,856,815,697,991,831,777,743
102,594,611,841,703,679,571,522
103,203,242,62,122,161,201,246
104,0,0,11,0,0,0,1
105,42,29,311,40,41,43,31
106,204,210,41,159,160,202,182
107,546,604,386,453,494,529,726
108,926,980,625,822,939,868,939
109,414,433,102,294,440,393,604
110,1056,1108,863,964,1028,986,940
111,161,143,192,180,239,161,126
112,288,314,503,327,300,269,406
113,599,636,249,455,613,572,755
114,296,223,978,461,407,270,171
115,17,18,443,6,5,20,40
116,214,218,405,254,293,203,229
117,431,364,327,218,277,430,258
118,455,494,219,365,482,431,561
119,39,36,19,54,76,39,58
120,334,317,73,235,382,308,609
121,262,249,368,490,404,243,212
122,822,872,1092,818,725,778,923
123,195,188,1123,281,281,188,151
124,378,371,1033,498,454,348,331
125,825,787,1004,819,862,779,497
126,222,278,398,41,69,224,455
127,22,37,140,8,7,26,56
128,553,621,460,802,432,530,696
129,347,413,672,103,181,349,452
130,135,114,617,152,154,133,97
131,339,304,780,488,485,309,318
132,250,296,58,415,184,244,263
133,15,16,9,101,57,15,19
134,31,21,1,315,62,12,6
135,264,173,326,477,270,245,85
136,37,51,27,109,60,40,27
137,729,794,749,631,722,708,876
138,828,879,482,794,917,780,941
139,32,39,658,146,105,32,43
140,505,552,146,447,602,481,690
141,139,162,469,323,233,134,156
142,56,71,168,136,129,52,96
143,504,408,486,556,525,482,377
144,179,204,226,283,297,173,283
145,81,90,191,170,158,79,172
146,140,138,485,324,226,135,119
147,337,379,631,437,354,310,380
148,289,332,88,328,439,271,557
149,155,178,794,299,274,147,244
150,937,993,1017,1029,911,869,894
151,72,57,15,96,198,70,134
152,248,306,306,240,328,246,427
153,784,878,906,519,641,781,834
154,175,180,69,346,211,174,245
155,581,659,369,651,549,573,624
156,294,326,133,636,394,272,255
157,343,235,984,462,364,311,176
158,798,897,1099,807,858,782,706
159,736,475,735,803,780,709,197
160,454,508,417,588,409,432,529
161,308,361,258,134,178,312,509
162,413,372,1116,445,393,394,274
163,545,559,651,509,517,531,556
164,287,289,96,233,341,273,520
165,453,479,233,366,429,433,637
166,503,540,273,405,502,483,625
167,234,247,322,260,252,225,395
168,601,660,250,456,614,574,816
169,666,703,546,605,676,640,678
170,850,847,646,1015,745,783,723
171,597,652,251,457,615,575,846
172,927,949,626,823,940,870,942
173,665,730,315,510,668,641,890
174,1059,1095,864,965,1029,987,943
175,160,181,91,353,83,162,256
176,824,853,1093,820,726,784,852
177,598,644,934,602,550,576,612
178,602,635,252,458,616,577,747
179,930,976,1013,959,925,871,843
180,415,443,1130,446,403,395,442
181,58,52,142,160,77,53,51
182,30,28,45,184,108,29,16
183,422,436,185,718,371,396,449
184,50,64,137,217,117,48,70
185,263,203,671,481,375,247,103
186,463,463,346,493,557,434,476
187,274,270,410,151,225,274,252
188,218,199,65,275,391,204,211
189,507,546,763,619,598,484,725
190,295,307,401,408,424,275,321
191,310,321,268,130,192,313,297
192,126,167,214,22,31,136,296
193,105,135,478,19,24,106,223
194,557,532,334,516,537,532,477
195,6,7,997,1,1,6,14
196,244,266,983,62,96,248,308
197,52,73,418,10,10,54,153
198,200,230,1114,44,74,205,218
199,102,110,241,329,94,93,125
200,62,79,775,15,13,65,178
201,236,275,49,656,137,226,382
202,224,245,206,81,123,227,210
203,12,25,457,3,3,16,61
204,41,67,89,5,6,44,222
205,61,86,859,12,12,66,160
206,202,261,216,35,61,206,499
207,306,388,510,63,114,314,540
208,574,702,1073,223,353,578,729
209,85,118,347,27,27,87,169
210,243,299,425,45,86,249,356
211,69,74,502,13,14,71,120
212,106,113,793,28,33,107,109
213,117,159,265,36,46,120,237
214,73,111,131,11,11,80,432
215,145,186,234,25,37,148,410
216,272,346,314,99,182,276,314
217,103,120,842,24,29,108,135
218,46,54,408,7,9,49,78
219,573,670,1075,224,347,579,645
220,304,398,501,64,119,315,576
221,241,236,426,46,85,250,193
222,620,519,439,848,586,580,292
223,510,448,987,593,441,485,458
224,823,806,597,954,740,785,848
225,958,944,1082,1039,993,872,856
226,211,228,108,487,218,207,152
227,314,370,132,404,352,316,404
228,840,864,688,999,859,786,801
229,252,263,739,250,342,251,290
230,329,355,862,332,317,317,370
231,904,982,659,744,875,873,944
232,7,6,17,57,16,7,5
233,538,579,467,609,491,533,537
234,246,251,1117,177,208,252,310
235,901,998,940,936,777,874,832
236,47,45,30,145,63,50,32
